Основная категория,Категория,Продукт,Общая оценка,Безопасность,Натуральность,Пищевая ценность,Качество,Ссылка
 Мясные продукты , Колбаса вареная ,"""Клинский"" мясокомбинат, ""Докторская""",46,59,45,12,67,https://roscontrol.com/product/klinskiy-myasokombinat-doktorskaya/
 Мясные продукты , Колбаса вареная ,"""Дымов"", ""Докторская""",51,72,50,14,69,https://roscontrol.com/product/kolbasa-dimov-doktorskaya/
 Мясные продукты , Колбаса вареная ,"""Рублёвский"", ""Молочная""",47,57,50,12,69,https://roscontrol.com/product/kolbasa-rublvskiy-molochnaya/
 Мясные продукты , Колбаса вареная ,"""Еремкина Т.П."", ""Любительская""",51,68,65,8,64,https://roscontrol.com/product/kolbasa-eremkina-tp-lyubitelskaya/
 Мясные продукты , Колбаса вареная ,"""Окраина"", ""Молочная ГОСТ""",49,67,50,8,71,https://roscontrol.com/product/kolbasa-okraina-molochnaya-gost/
 Мясные продукты , Колбаса вареная ,"Колбаса ""Мясницкий ряд"" ""Телячья""",18,0,40,4,28,https://roscontrol.com/product/kolbasa-myasnitskiy-ryad-telyachya/
 Мясные продукты , Колбаса вареная ,"Колбаса ""Велком"" ""Телячья""",31,66,25,0,33,https://roscontrol.com/product/kolbasa-velkom-telyachya/
 Мясные продукты , Колбаса вареная ,"Колбаса ""Окраина"" ""Телячья""",32,52,35,0,39,https://roscontrol.com/product/kolbasa-okraina-telyachya/
 Мясные продукты , Колбаса вареная ,"""Рублевский"" ""Любительская""",43,60,55,10,48,https://roscontrol.com/product/rublevskiy-lyubitelskaya/
 Мясные продукты , Колбаса вареная ,"""Мясницкий ряд"", ""Русская""",34,76,25,0,35,https://roscontrol.com/product/myasnitskiy-ryad-russkaya/
 Мясные продукты , Колбаса вареная ,"""Рублёвский"", ""Русская""",29,76,40,0,0,https://roscontrol.com/product/rublvskiy-russkaya/
 Мясные продукты , Колбаса вареная ,"""Царицыно"", ""Русская""",29,57,35,0,22,https://roscontrol.com/product/kolbasa-russkaya-tsaritsino/
 Мясные продукты , Колбаса вареная ,"""Малаховский"", ""Русская""",40,75,45,1,40,https://roscontrol.com/product/kolbasa-varenaya-russkaya-malahovskiy/
 Мясные продукты , Колбаса вареная ,"Колбаса ""Малаховский"", ""Докторская""",43,57,30,23,60,https://roscontrol.com/product/kolbasa-malahovskiy-doktorskaya/
 Мясные продукты , Колбаса вареная ,"Колбаса ""Микоян"", ""Докторская""",33,66,25,3,36,https://roscontrol.com/product/mikoyan-doktorskaya/
 Мясные продукты , Колбаса вареная ,"""Останкино"", ""Докторская""",35,57,15,20,48,https://roscontrol.com/product/ostankino-doktorskaya/
 Мясные продукты , Колбаса вареная ,"""Метатр"", ""Докторская""",0,,,,,https://roscontrol.com/product/kolbasa-metatr-doktorskaya/
 Мясные продукты , Колбаса вареная ,"""Коровино"", ""Докторская традиционная""",20,44,0,0,36,https://roscontrol.com/product/kolbasa-korovino-doktorskaya-traditsionnaya/
 Мясные продукты , Колбаса вареная ,"""Стародворские колбасы"", ""Докторская""",0,,,,,https://roscontrol.com/product/doktorskaia/
 Мясные продукты , Колбаса вареная ,"""Умка"", ""Детская сливочная""",0,,,,,https://roscontrol.com/product/kolbasa-varenaya-umka-detskaya-slivochnaya/
 Мясные продукты , Колбаса вареная ,"""Велком"", ""Молочная""",43,45,65,16,44,https://roscontrol.com/product/kolbasa-velkom-molochnaya/
 Мясные продукты , Колбаса вареная ,"""Останкино"", ""Молочная""",0,,,,,https://roscontrol.com/product/kolbasa-ostankino-molochnaya/
 Мясные продукты , Колбаса вареная ,"""Великолукский мясокомбинат"", ""Детям""",0,,,,,https://roscontrol.com/product/kolbasa-velikolukskiy-myasokombinat-detyam/
 Мясные продукты , Колбаса вареная ,"""Великолукский мясокомбинат"", ""Докторская ГОСТ""",0,,,,,https://roscontrol.com/product/kolbasa-velikolukskiy-myasokombinat-doktorskaya-gost/
 Мясные продукты , Колбаса вареная ,"""Русская Рамфуд""",0,,,,,https://roscontrol.com/product/kolbasa-ramfud-russkaya/
 Мясные продукты , Колбаса вареная ,"""Раменский деликатес"", ""Докторская""",0,,,,,https://roscontrol.com/product/kolbasa-ramenskiy-delikates-doktorskaya/
 Мясные продукты , Колбаса вареная ,"""Докторская от Дымова""",0,,,,,https://roscontrol.com/product/doktorskaya-ot-dimova/
 Мясные продукты , Колбаса вареная ,"""Докторская по-егорьевски""",0,,,,,https://roscontrol.com/product/egorevskaya-doktorskaya-po-egorevski/
 Мясные продукты , Колбаса вареная ,"""Метатр"", ""докторская оригинальная""",0,,,,,https://roscontrol.com/product/metatr-doktorskaya-original-naya/
 Мясные продукты , Колбаса вареная ,"""Русский фермер"", ""докторская народная""",0,,,,,https://roscontrol.com/product/russkiy-fermer-doktorskaya-narodnaya/
 Мясные продукты , Колбаса вареная ,"""КампоМос"", ""Докторская классическая""",0,,,,,https://roscontrol.com/product/kampomos-doktorskaya-klassicheskaya/
 Мясные продукты , Колбаса вареная ,"Колбаса ""Рублёвский"" ""Телячья""",,,,,,https://roscontrol.com/product/kolbasa-rublvskiy-telyachya/
